xi,loc,scale,p,R
-0.11148314214892832,-30.433169413042318,3.567463305731706,0.023999730483288063,41.66713458287953
0.0067911861843795995,-29.795795538007994,4.596076687178586,0.03041120190197186,32.88262013528509
0.021839818852395686,-30.73287428847619,2.9413801277695995,0.0022982040707951665,435.1223691175542
0.13057357965663569,-30.037365518186988,4.623997288932783,0.009818353638946713,101.85006944884064
-0.1092207346499669,-30.613190570623615,3.514413642160548,0.021876043403425978,45.7121053180664
-0.1350378695400934,-30.85284574977701,3.7120237967626872,0.028573085442286365,34.99797045089373
-0.04188227253110624,-29.47772355727741,4.892082808214276,0.049957551634460445,20.016993773373905
0.047674838613873324,-30.372692788503528,3.335832810144775,0.003723133843661942,268.5909349464685
-0.14808420072368816,-30.314483511984115,3.831254592489545,0.036149226725980206,27.66310902250384
-0.04000805012943659,-30.627103490069675,3.8631909532753,0.01867554269089895,53.545967394421396
-0.08218194992897429,-29.513028502046765,3.9838291202151033,0.03352676939146806,29.82691199154075
-0.12643037869849347,-31.750036678934755,3.0523204377545934,0.012706980209873937,78.69690386571561
-0.07829770622525947,-30.45585552200561,3.7282612633743097,0.022318136108096655,44.80660908046064
-0.14272545205881107,-30.562046822197836,4.106795058278587,0.040520353530859324,24.67895545971543
0.01948446513939587,-30.7639685074155,2.9367172552847967,0.0023514197982274104,425.27497674121736
0.060293840611903404,-29.590160153659355,3.646104814062618,0.007094496136334145,140.95433710627378
-0.11396709293666937,-31.29685408273385,3.1183339375233645,0.013495364313888095,74.09951867478664
-0.02843507034563139,-30.151036034996586,3.8899700616487785,0.01955618668250691,51.134713338286154
0.004681739280275174,-31.21242886401078,3.1764856562477677,0.00412501184701508,242.42354618293155
-0.117781740272102,-30.200646688721548,3.7397243164142537,0.02973864677103304,33.626277876707256
-0.33331021287690055,-31.228914091741633,2.6451553593805803,0.030869185737116566,32.39476442676678
0.04880013731804081,-30.06911629216352,3.307778583090699,0.00389994002546319,256.41419956996174
-0.18460428034976198,-30.777061023889956,3.8623637800387574,0.04034911994733463,24.783688003734458
-0.040438063010639916,-29.294521084525847,4.712756481411198,0.04628372494819286,21.605866881270643
-0.0020561691207075456,-30.127665785261584,3.757612436419154,0.013840849484718419,72.2499006368137
-0.34096152186840323,-31.02471170974826,3.691789344828885,0.06067785532238146,16.48047701565917
-0.017057641607274316,-30.464393739595664,3.4716771893856544,0.010403155313581179,96.1246823542578
-0.21811299641059398,-30.49829159266252,3.7475434846477125,0.044663814962953685,22.389489138566603
-0.18502683484054522,-31.151480481358163,3.383491124113254,0.027604495105207124,36.22598407211465
-0.11708185967134074,-30.10833716565643,4.162963592985085,0.0402792969510018,24.826649810111164
0.09660371105519028,-29.10388569139703,3.3670685606226196,0.002791775567190134,358.1949823446875
-0.2941549124294085,-31.055185396900335,3.760834209927074,0.054514796860652456,18.34364351675274
-0.02716470910548717,-30.156021671637646,3.815224613125704,0.018000950424648807,55.552622301025515
0.05709386674839814,-30.76788134902481,2.9199369257894103,0.0009499464931900347,1052.6908696108553
-0.06473727553928058,-31.176614956085373,3.4201879533082655,0.012844571945414527,77.85389845996362
0.11525620291009117,-29.136063971644006,4.2417343042349644,0.010034351388012622,99.65766209808379
-0.4510304913685851,-31.987914664950004,2.2770050855862887,0.03395121287555444,29.45402874605461
-0.03575975408075032,-29.771936679776324,4.33154761658189,0.0320921015055437,31.160315251628393
-9.690349981525038,-33.361752458081185,6.184842068949337,0.503828862411718,1.9848009405678346
-0.04915073682852595,-30.325008825821442,3.9920557888268937,0.023793831460697554,42.02769955951783
0.01774965421416268,-30.991017822487777,3.198369618422517,0.003766170074370188,265.5217316937629
0.08381048117678234,-29.533702159167778,3.802647476784164,0.006711285023445669,149.00276124565275
0.20174568586582303,-29.952891385254823,4.31955182625329,0.0011413615729251305,876.1465461266205
-0.0389413006029786,-29.61214725566787,3.949231498452204,0.024982831017973182,40.0274892497403
0.1841546855710562,-28.875354802840477,4.514483207237447,0.006270862749507785,159.46769048301886
-0.010335252753195356,-30.26123369802107,3.7646669480690598,0.01450742861525424,68.93020303739577
-0.5671876502788841,-32.13326610232221,2.4897677084500964,0.0544220372731405,18.37490932177103
0.09375937530456942,-29.858980333962055,3.8845167921001855,0.005802685266615954,172.33400642168314
-0.19708036764755066,-31.286141187408642,3.482401179737202,0.03089016628376008,32.372761959709194
-0.7912105975407139,-32.20714648648986,2.6205283867984632,0.08965322831856617,11.154088020641987
0.11195327140420788,-29.3680334996777,4.294391278270447,0.010280252171701205,97.27387843196429
0.01622564125945517,-29.48009423471771,4.2170946208685915,0.022460537785391168,44.52253145293886
-0.3302457806302036,-31.830279295939512,2.978743547878313,0.03609979673112421,27.7009870013431
-0.039872289482253756,-30.731064686670848,3.5044516019309873,0.012567319496918408,79.5714631306387
0.008585096963033778,-30.96662084770962,3.3883050733306446,0.005968749342200617,167.53928547974678
0.021309382101034977,-29.462471014545415,4.34349564524459,0.024367801354719304,41.03776066798617
